,card name,img url,edition - rarity,mana cost,converted mana cost,type,abilities
97,Giant Harbinger,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139474&type=card,Lorwyn (Uncommon),"['4', 'Red']",5,Creature — Giant Shaman (3/4),"When Giant Harbinger enters the battlefield, you may search your library for a Giant card, reveal it, then shuffle and put that card on top."
98,Giant's Ire,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139477&type=card,Lorwyn (Common),"['3', 'Red']",4,Tribal Sorcery — Giant,"Giant's Ire deals 4 damage to target player or planeswalker. If you control a Giant, draw a card."
99,Gilt-Leaf Ambush,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145984&type=card,Lorwyn (Common),"['2', 'Green']",3,Tribal Instant — Elf,"Create two 1/1 green Elf Warrior creature tokens. Clash with an opponent. If you win, those creatures gain deathtouch until end of turn. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value. Any amount of damage a creature with deathtouch deals to a creature is enough to destroy it.)"
100,Gilt-Leaf Palace,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=153455&type=card,Lorwyn (Rare),"['2', 'Green']",0,Land,"As Gilt-Leaf Palace enters the battlefield, you may reveal an Elf card from your hand. If you don't, Gilt-Leaf Palace enters the battlefield tapped.
: Add or ."
101,Gilt-Leaf Seer,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145812&type=card,Lorwyn (Common),"['2', 'Green']",3,Creature — Elf Shaman (2/2),", : Look at the top two cards of your library, then put them back in any order."
102,Glarewielder,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145981&type=card,Lorwyn (Uncommon),"['4', 'Red']",5,Creature — Elemental Shaman (3/1),"Haste
When Glarewielder enters the battlefield, up to two target creatures can't block this turn.
Evoke (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
103,Glen Elendra Pranksters,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146162&type=card,Lorwyn (Uncommon),"['3', 'Blue']",4,Creature — Faerie Wizard (1/3),"Flying
Whenever you cast a spell during an opponent's turn, you may return target creature you control to its owner's hand."
104,Glimmerdust Nap,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139436&type=card,Lorwyn (Common),"['2', 'Blue']",3,Enchantment — Aura,"Enchant tapped creature
Enchanted creature doesn't untap during its controller's untap step."
105,Goatnapper,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=142363&type=card,Lorwyn (Uncommon),"['2', 'Red']",3,Creature — Goblin Rogue (2/2),"When Goatnapper enters the battlefield, untap target Goat and gain control of it until end of turn. It gains haste until end of turn."
106,Goldmeadow Dodger,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=142356&type=card,Lorwyn (Common),['White'],1,Creature — Kithkin Rogue (1/1),Goldmeadow Dodger can't be blocked by creatures with power 4 or greater.
107,Goldmeadow Harrier,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139397&type=card,Lorwyn (Common),['White'],1,Creature — Kithkin Soldier (1/1),", : Tap target creature."
108,Goldmeadow Stalwart,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139698&type=card,Lorwyn (Uncommon),['White'],1,Creature — Kithkin Soldier (2/2),"As an additional cost to cast this spell, reveal a Kithkin card from your hand or pay ."
109,Guardian of Cloverdell,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139665&type=card,Lorwyn (Uncommon),"['5', 'Green', 'Green']",7,Creature — Treefolk Shaman (4/5),"When Guardian of Cloverdell enters the battlefield, create three 1/1 white Kithkin Soldier creature tokens.
, Sacrifice a Kithkin: You gain 1 life."
110,Guile,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140190&type=card,Lorwyn (Rare),"['3', 'Blue', 'Blue', 'Blue']",6,Creature — Elemental Incarnation (6/6),"Guile can't be blocked except by three or more creatures.
If a spell or ability you control would counter a spell, instead exile that spell and you may play that card without paying its mana cost.
When Guile is put into a graveyard from anywhere, shuffle it into its owner's library."
111,Hamletback Goliath,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143682&type=card,Lorwyn (Rare),"['6', 'Red']",7,Creature — Giant Warrior (6/6),"Whenever another creature enters the battlefield, you may put X +1/+1 counters on Hamletback Goliath, where X is that creature's power."
112,Harpoon Sniper,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139407&type=card,Lorwyn (Uncommon),"['2', 'White']",3,Creature — Merfolk Archer (2/2),", : Harpoon Sniper deals X damage to target attacking or blocking creature, where X is the number of Merfolk you control."
113,Heal the Scars,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145808&type=card,Lorwyn (Common),"['3', 'Green']",4,Instant,Regenerate target creature. You gain life equal to that creature's toughness.
114,Hearthcage Giant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139691&type=card,Lorwyn (Uncommon),"['6', 'Red', 'Red']",8,Creature — Giant Warrior (5/5),"When Hearthcage Giant enters the battlefield, create two 3/1 red Elemental Shaman creature tokens.
Sacrifice an Elemental: Target Giant creature gets +3/+1 until end of turn."
115,Heat Shimmer,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139468&type=card,Lorwyn (Rare),"['2', 'Red']",3,Sorcery,"Create a token that's a copy of target creature, except it has haste and ""At the beginning of the end step, exile this permanent."""
116,Herbal Poultice,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139740&type=card,Lorwyn (Common),['0'],0,Artifact,", Sacrifice Herbal Poultice: Regenerate target creature."
117,Hillcomber Giant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145971&type=card,Lorwyn (Common),"['2', 'White', 'White']",4,Creature — Giant Scout (3/3),Mountainwalk (This creature can't be blocked as long as defending player controls a Mountain.)
118,Hoarder's Greed,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146160&type=card,Lorwyn (Uncommon),"['3', 'Black']",4,Sorcery,"You lose 2 life and draw two cards, then clash with an opponent. If you win, repeat this process. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)"
119,Hoofprints of the Stag,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143730&type=card,Lorwyn (Rare),"['1', 'White']",2,Tribal Enchantment — Elemental,"Whenever you draw a card, you may put a hoofprint counter on Hoofprints of the Stag.
, Remove four hoofprint counters from Hoofprints of the Stag: Create a 4/4 white Elemental creature token with flying. Activate only during your turn."
120,Horde of Notions,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140219&type=card,Lorwyn (Rare),"['White', 'Blue', 'Black', 'Red', 'Green']",5,Legendary Creature — Elemental (5/5),"Vigilance, trample, haste
: You may play target Elemental card from your graveyard without paying its mana cost."
121,Hornet Harasser,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=142355&type=card,Lorwyn (Common),"['2', 'Black', 'Black']",4,Creature — Goblin Shaman (2/2),"When Hornet Harasser dies, target creature gets -2/-2 until end of turn."
122,Hostility,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140164&type=card,Lorwyn (Rare),"['3', 'Red', 'Red', 'Red']",6,Creature — Elemental Incarnation (6/6),"Haste
If a spell you control would deal damage to an opponent, prevent that damage. Create a 3/1 red Elemental Shaman creature token with haste for each 1 damage prevented this way.
When Hostility is put into a graveyard from anywhere, shuffle it into its owner's library."
123,Howltooth Hollow,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139513&type=card,Lorwyn (Rare),"['3', 'Red', 'Red', 'Red']",0,Land,"Hideaway (This land enters the battlefield tapped. When it does, look at the top four cards of your library, exile one face down, then put the rest on the bottom of your library.)
: Add .
, : You may play the exiled card without paying its mana cost if each player has no cards in hand."
124,Hunt Down,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143611&type=card,Lorwyn (Common),['Green'],1,Sorcery,Target creature blocks target creature this turn if able.
125,Hunter of Eyeblights,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139723&type=card,Lorwyn (Uncommon),"['3', 'Black', 'Black']",5,Creature — Elf Assassin (3/3),"When Hunter of Eyeblights enters the battlefield, put a +1/+1 counter on target creature you don't control.
, : Destroy target creature with a counter on it."
126,Hurly-Burly,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143381&type=card,Lorwyn (Common),"['1', 'Red']",2,Sorcery,"Choose one —
• Hurly-Burly deals 1 damage to each creature without flying.
• Hurly-Burly deals 1 damage to each creature with flying."
127,Immaculate Magistrate,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139721&type=card,Lorwyn (Rare),"['3', 'Green']",4,Creature — Elf Shaman (2/2),: Put a +1/+1 counter on target creature for each Elf you control.
128,Imperious Perfect,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139683&type=card,Lorwyn (Uncommon),"['2', 'Green']",3,Creature — Elf Warrior (2/2),"Other Elves you control get +1/+1.
, : Create a 1/1 green Elf Warrior creature token."
129,Incandescent Soulstoke,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139730&type=card,Lorwyn (Rare),"['2', 'Red']",3,Creature — Elemental Shaman (2/2),"Other Elemental creatures you control get +1/+1.
, : You may put an Elemental creature card from your hand onto the battlefield. That creature gains haste until end of turn. Sacrifice it at the beginning of the next end step."
130,Incendiary Command,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=141830&type=card,Lorwyn (Rare),"['3', 'Red', 'Red']",5,Sorcery,"Choose two —
• Incendiary Command deals 4 damage to target player or planeswalker.
• Incendiary Command deals 2 damage to each creature.
• Destroy target nonbasic land.
• Each player discards all the cards in their hand, then draws that many cards."
131,Incremental Growth,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146777&type=card,Lorwyn (Uncommon),"['3', 'Green', 'Green']",5,Sorcery,"Put a +1/+1 counter on target creature, two +1/+1 counters on another target creature, and three +1/+1 counters on a third target creature."
132,Ingot Chewer,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139686&type=card,Lorwyn (Common),"['4', 'Red']",5,Creature — Elemental (3/3),"When Ingot Chewer enters the battlefield, destroy target artifact.
Evoke (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
133,Inkfathom Divers,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139419&type=card,Lorwyn (Common),"['3', 'Blue', 'Blue']",5,Creature — Merfolk Soldier (3/3),"Islandwalk (This creature can't be blocked as long as defending player controls an Island.)
When Inkfathom Divers enters the battlefield, look at the top four cards of your library, then put them back in any order."
134,Inner-Flame Acolyte,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146599&type=card,Lorwyn (Common),"['1', 'Red', 'Red']",3,Creature — Elemental Shaman (2/2),"When Inner-Flame Acolyte enters the battlefield, target creature gets +2/+0 and gains haste until end of turn.
Evoke (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
135,Inner-Flame Igniter,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139462&type=card,Lorwyn (Uncommon),"['2', 'Red']",3,Creature — Elemental Warrior (2/2),": Creatures you control get +1/+0 until end of turn. If this is the third time this ability has resolved this turn, creatures you control gain first strike until end of turn."
136,Island,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143632&type=card,Lorwyn (Land),"['2', 'Red']",0,Basic Land — Island,
137,Jace Beleren,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140222&type=card,Lorwyn (Rare),"['1', 'Blue', 'Blue']",3,Legendary Planeswalker — Jace (3),"+2: Each player draws a card.
−1: Target player draws a card.
−10: Target player mills twenty cards."
138,Jagged-Scar Archers,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139726&type=card,Lorwyn (Uncommon),"['1', 'Green', 'Green']",3,Creature — Elf Archer (*/*),"Jagged-Scar Archers's power and toughness are each equal to the number of Elves you control.
: Jagged-Scar Archers deals damage equal to its power to target creature with flying."
139,Judge of Currents,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139406&type=card,Lorwyn (Common),"['1', 'White']",2,Creature — Merfolk Wizard (1/1),"Whenever a Merfolk you control becomes tapped, you may gain 1 life."
140,Kinsbaile Balloonist,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139403&type=card,Lorwyn (Common),"['3', 'White']",4,Creature — Kithkin Soldier (2/2),"Flying
Whenever Kinsbaile Balloonist attacks, you may have target creature gain flying until end of turn."
141,Kinsbaile Skirmisher,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143018&type=card,Lorwyn (Common),"['1', 'White']",2,Creature — Kithkin Soldier (2/2),"When Kinsbaile Skirmisher enters the battlefield, target creature gets +1/+1 until end of turn."
142,Kithkin Daggerdare,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139498&type=card,Lorwyn (Common),"['1', 'Green']",2,Creature — Kithkin Soldier (1/1),", : Target attacking creature gets +2/+2 until end of turn."
143,Kithkin Greatheart,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146444&type=card,Lorwyn (Common),"['1', 'White']",2,Creature — Kithkin Soldier (2/1),"As long as you control a Giant, Kithkin Greatheart gets +1/+1 and has first strike."
144,Kithkin Harbinger,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139399&type=card,Lorwyn (Uncommon),"['2', 'White']",3,Creature — Kithkin Wizard (1/3),"When Kithkin Harbinger enters the battlefield, you may search your library for a Kithkin card, reveal it, then shuffle and put that card on top."
145,Kithkin Healer,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145986&type=card,Lorwyn (Common),"['2', 'White']",3,Creature — Kithkin Cleric (2/2),: Prevent the next 1 damage that would be dealt to any target this turn.
146,Kithkin Mourncaller,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139497&type=card,Lorwyn (Uncommon),"['2', 'Green']",3,Creature — Kithkin Scout (2/2),"Whenever an attacking Kithkin or Elf is put into your graveyard from the battlefield, you may draw a card."
147,Knight of Meadowgrain,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139715&type=card,Lorwyn (Uncommon),"['White', 'White']",2,Creature — Kithkin Knight (2/2),"First strike
Lifelink (Damage dealt by this creature also causes you to gain that much life.)"
148,Knucklebone Witch,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143609&type=card,Lorwyn (Rare),['Black'],1,Creature — Goblin Shaman (1/1),"Whenever a Goblin you control is put into a graveyard from the battlefield, you may put a +1/+1 counter on Knucklebone Witch."
149,Lace with Moonglove,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143376&type=card,Lorwyn (Common),"['2', 'Green']",3,Instant,"Target creature gains deathtouch until end of turn. (Any amount of damage it deals to a creature is enough to destroy that creature.)
Draw a card."
150,Lairwatch Giant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143383&type=card,Lorwyn (Common),"['5', 'White']",6,Creature — Giant Warrior (5/3),"Lairwatch Giant can block an additional creature each combat.
Whenever Lairwatch Giant blocks two or more creatures, it gains first strike until end of turn."
151,Lammastide Weave,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139404&type=card,Lorwyn (Uncommon),"['1', 'Green']",2,Instant,"Choose a card name, then target player mills a card. If a card with the chosen name was milled this way, you gain life equal to its mana value.
Draw a card."
152,Lash Out,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145987&type=card,Lorwyn (Common),"['1', 'Red']",2,Instant,"Lash Out deals 3 damage to target creature. Clash with an opponent. If you win, Lash Out deals 3 damage to that creature's controller. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)"
153,Leaf Gilder,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139487&type=card,Lorwyn (Common),"['1', 'Green']",2,Creature — Elf Druid (2/1),: Add .
154,Lignify,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139703&type=card,Lorwyn (Common),"['1', 'Green']",2,Tribal Enchantment — Treefolk Aura,"Enchant creature
Enchanted creature is a Treefolk with base power and toughness 0/4 and loses all abilities."
155,Liliana Vess,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140212&type=card,Lorwyn (Rare),"['3', 'Black', 'Black']",5,Legendary Planeswalker — Liliana (5),"+1: Target player discards a card.
−2: Search your library for a card, then shuffle and put that card on top.
−8: Put all creature cards from all graveyards onto the battlefield under your control."
156,Lowland Oaf,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140183&type=card,Lorwyn (Common),"['3', 'Red']",4,Creature — Giant Warrior (3/3),: Target Goblin creature you control gets +1/+0 and gains flying until end of turn. Sacrifice that creature at the beginning of the next end step.
157,Lys Alana Huntmaster,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139401&type=card,Lorwyn (Common),"['2', 'Green', 'Green']",4,Creature — Elf Warrior (3/3),"Whenever you cast an Elf spell, you may create a 1/1 green Elf Warrior creature token."
158,Lys Alana Scarblade,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143021&type=card,Lorwyn (Uncommon),"['2', 'Black']",3,Creature — Elf Assassin (1/1),", Discard an Elf card: Target creature gets -X/-X until end of turn, where X is the number of Elves you control."
159,Mad Auntie,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139708&type=card,Lorwyn (Rare),"['2', 'Black']",3,Creature — Goblin Shaman (2/2),"Other Goblin creatures you control get +1/+1.
: Regenerate another target Goblin."
160,Makeshift Mannequin,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139670&type=card,Lorwyn (Uncommon),"['3', 'Black']",4,Instant,"Return target creature card from your graveyard to the battlefield with a mannequin counter on it. For as long as that creature has a mannequin counter on it, it has ""When this creature becomes the target of a spell or ability, sacrifice it."""
161,Marsh Flitter,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139705&type=card,Lorwyn (Uncommon),"['3', 'Black']",4,Creature — Faerie Rogue (1/1),"Flying
When Marsh Flitter enters the battlefield, create two 1/1 black Goblin Rogue creature tokens.
Sacrifice a Goblin: Marsh Flitter has base power and toughness 3/3 until end of turn."
162,Masked Admirers,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140184&type=card,Lorwyn (Rare),"['2', 'Green', 'Green']",4,Creature — Elf Shaman (3/2),"When Masked Admirers enters the battlefield, draw a card.
Whenever you cast a creature spell, you may pay . If you do, return Masked Admirers from your graveyard to your hand."
163,Merrow Commerce,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139663&type=card,Lorwyn (Uncommon),"['1', 'Blue']",2,Tribal Enchantment — Merfolk,"At the beginning of your end step, untap all Merfolk you control."
164,Merrow Harbinger,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139420&type=card,Lorwyn (Uncommon),"['3', 'Blue']",4,Creature — Merfolk Wizard (2/3),"Islandwalk (This creature can't be blocked as long as defending player controls an Island.)
When Merrow Harbinger enters the battlefield, you may search your library for a Merfolk card, reveal it, then shuffle and put that card on top."
165,Merrow Reejerey,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139702&type=card,Lorwyn (Uncommon),"['2', 'Blue']",3,Creature — Merfolk Soldier (2/2),"Other Merfolk creatures you control get +1/+1.
Whenever you cast a Merfolk spell, you may tap or untap target permanent."
166,Militia's Pride,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140193&type=card,Lorwyn (Rare),"['1', 'White']",2,Tribal Enchantment — Kithkin,"Whenever a nontoken creature you control attacks, you may pay . If you do, create a 1/1 white Kithkin Soldier creature token that's tapped and attacking."
167,Mirror Entity,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=141818&type=card,Lorwyn (Rare),"['2', 'White']",3,Creature — Shapeshifter (1/1),"Changeling (This card is every creature type.)
: Until end of turn, creatures you control have base power and toughness X/X and gain all creature types."
168,Mistbind Clique,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=141825&type=card,Lorwyn (Rare),"['3', 'Blue']",4,Creature — Faerie Wizard (4/4),"Flash
Flying
Champion a Faerie (When this enters the battlefield, sacrifice it unless you exile another Faerie you control. When this leaves the battlefield, that card returns to the battlefield.)
When a Faerie is championed with Mistbind Clique, tap all lands target player controls."
169,Moonglove Extract,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139506&type=card,Lorwyn (Common),['3'],3,Artifact,Sacrifice Moonglove Extract: It deals 2 damage to any target.
170,Moonglove Winnower,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139483&type=card,Lorwyn (Common),"['3', 'Black']",4,Creature — Elf Rogue (2/3),Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
171,Mosswort Bridge,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139515&type=card,Lorwyn (Rare),"['3', 'Black']",0,Land,"Hideaway (This land enters the battlefield tapped. When it does, look at the top four cards of your library, exile one face down, then put the rest on the bottom of your library.)
: Add .
, : You may play the exiled card without paying its mana cost if creatures you control have total power 10 or greater."
172,Mountain,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143627&type=card,Lorwyn (Land),"['3', 'Black']",0,Basic Land — Mountain,
173,Mournwhelk,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145800&type=card,Lorwyn (Common),"['6', 'Black']",7,Creature — Elemental (3/3),"When Mournwhelk enters the battlefield, target player discards two cards.
Evoke (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
174,Mudbutton Torchrunner,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139742&type=card,Lorwyn (Common),"['2', 'Red']",3,Creature — Goblin Warrior (1/1),"When Mudbutton Torchrunner dies, it deals 3 damage to any target."
175,Mulldrifter,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145811&type=card,Lorwyn (Common),"['4', 'Blue']",5,Creature — Elemental (2/2),"Flying
When Mulldrifter enters the battlefield, draw two cards.
Evoke (You may cast this spell for its evoke cost. If you do, it's sacrificed when it enters the battlefield.)"
176,Nameless Inversion,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143388&type=card,Lorwyn (Common),"['1', 'Black']",2,Tribal Instant — Shapeshifter,"Changeling (This card is every creature type.)
Target creature gets +3/-3 and loses all creature types until end of turn."
177,Nath of the Gilt-Leaf,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143370&type=card,Lorwyn (Rare),"['3', 'Black', 'Green']",5,Legendary Creature — Elf Warrior (4/4),"At the beginning of your upkeep, you may have target opponent discard a card at random.
Whenever an opponent discards a card, you may create a 1/1 green Elf Warrior creature token."
178,Nath's Buffoon,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139446&type=card,Lorwyn (Common),"['1', 'Black']",2,Creature — Goblin Rogue (1/1),Protection from Elves
179,Nath's Elite,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145990&type=card,Lorwyn (Common),"['4', 'Green']",5,Creature — Elf Warrior (4/2),"All creatures able to block Nath's Elite do so.
When Nath's Elite enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Nath's Elite. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)"
180,Neck Snap,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139693&type=card,Lorwyn (Common),"['3', 'White']",4,Instant,Destroy target attacking or blocking creature.
181,Nectar Faerie,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139451&type=card,Lorwyn (Uncommon),"['1', 'Black']",2,Creature — Faerie Wizard (1/1),"Flying
, : Target Faerie or Elf gains lifelink until end of turn. (Damage dealt by the creature also causes its controller to gain that much life.)"
182,Needle Drop,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146161&type=card,Lorwyn (Common),['Red'],1,Instant,"Needle Drop deals 1 damage to any target that was dealt damage this turn.
Draw a card."
183,Nettlevine Blight,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143731&type=card,Lorwyn (Rare),"['4', 'Black', 'Black']",6,Enchantment — Aura,"Enchant creature or land
Enchanted permanent has ""At the beginning of your end step, sacrifice this permanent and attach Nettlevine Blight to a creature or land you control."""
184,Nightshade Stinger,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139456&type=card,Lorwyn (Common),['Black'],1,Creature — Faerie Rogue (1/1),"Flying
Nightshade Stinger can't block."
185,Nova Chaser,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=140239&type=card,Lorwyn (Rare),"['3', 'Red']",4,Creature — Elemental Warrior (10/2),"Trample
Champion an Elemental (When this enters the battlefield, sacrifice it unless you exile another Elemental you control. When this leaves the battlefield, that card returns to the battlefield.)"
186,Oaken Brawler,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145988&type=card,Lorwyn (Common),"['3', 'White']",4,Creature — Treefolk Warrior (2/4),"When Oaken Brawler enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Oaken Brawler. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)"
187,Oakgnarl Warrior,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139494&type=card,Lorwyn (Common),"['5', 'Green', 'Green']",7,Creature — Treefolk Warrior (5/7),"Vigilance, trample"
188,Oblivion Ring,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139414&type=card,Lorwyn (Common),"['2', 'White']",3,Enchantment,"When Oblivion Ring enters the battlefield, exile another target nonland permanent.
When Oblivion Ring leaves the battlefield, return the exiled card to the battlefield under its owner's control."
189,Oona's Prowler,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=146582&type=card,Lorwyn (Rare),"['1', 'Black']",2,Creature — Faerie Rogue (3/1),"Flying
Discard a card: Oona's Prowler gets -2/-0 until end of turn. Any player may activate this ability."
190,Paperfin Rascal,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145814&type=card,Lorwyn (Common),"['2', 'Blue']",3,Creature — Merfolk Rogue (2/2),"When Paperfin Rascal enters the battlefield, clash with an opponent. If you win, put a +1/+1 counter on Paperfin Rascal. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)"
191,Peppersmoke,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139458&type=card,Lorwyn (Common),['Black'],1,Tribal Instant — Faerie,"Target creature gets -1/-1 until end of turn. If you control a Faerie, draw a card."
192,Pestermite,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139428&type=card,Lorwyn (Common),"['2', 'Blue']",3,Creature — Faerie Rogue (2/1),"Flash
Flying
When Pestermite enters the battlefield, you may tap or untap target permanent."
193,Plains,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=143630&type=card,Lorwyn (Land),"['2', 'Blue']",0,Basic Land — Plains,
194,Plover Knights,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139396&type=card,Lorwyn (Common),"['3', 'White', 'White']",5,Creature — Kithkin Knight (3/3),"Flying, first strike"
195,Pollen Lullaby,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=145815&type=card,Lorwyn (Uncommon),"['1', 'White']",2,Instant,"Prevent all combat damage that would be dealt this turn. Clash with an opponent. If you win, creatures that player controls don't untap during the player's next untap step. (Each clashing player reveals the top card of their library, then puts that card on the top or bottom. A player wins if their card had a higher mana value.)"
196,Ponder,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=139512&type=card,Lorwyn (Common),['Blue'],1,Sorcery,"Look at the top three cards of your library, then put them back in any order. You may shuffle.
Draw a card."
