,card name,img url,edition - rarity,mana cost,converted mana cost,type,abilities
237,Air Servant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205070&type=card,Magic 2011 (Uncommon),"['4', 'Blue']",5,Creature — Elemental (4/3),"Flying
: Tap target creature with flying."
238,Ajani Goldmane,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205957&type=card,Magic 2011 (Mythic Rare),"['2', 'White', 'White']",4,Legendary Planeswalker — Ajani (4),"+1: You gain 2 life.
−1: Put a +1/+1 counter on each creature you control. Those creatures gain vigilance until end of turn.
−6: Create a white Avatar creature token. It has ""This creature's power and toughness are each equal to your life total."""
239,Ajani's Mantra,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204987&type=card,Magic 2011 (Common),"['1', 'White']",2,Enchantment,"At the beginning of your upkeep, you may gain 1 life."
240,Ajani's Pridemate,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205065&type=card,Magic 2011 (Uncommon),"['1', 'White']",2,Creature — Cat Soldier (2/2),"Whenever you gain life, put a +1/+1 counter on Ajani's Pridemate."
241,Alluring Siren,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205073&type=card,Magic 2011 (Uncommon),"['1', 'Blue']",2,Creature — Siren (1/1),: Target creature an opponent controls attacks you this turn if able.
242,Ancient Hellkite,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204980&type=card,Magic 2011 (Rare),"['4', 'Red', 'Red', 'Red']",7,Creature — Dragon (6/6),"Flying
: Ancient Hellkite deals 1 damage to target creature defending player controls. Activate only if Ancient Hellkite is attacking."
243,Angelic Arbiter,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204975&type=card,Magic 2011 (Rare),"['5', 'White', 'White']",7,Creature — Angel (5/6),"Flying
Each opponent who cast a spell this turn can't attack with creatures.
Each opponent who attacked with a creature this turn can't cast spells."
244,Angel's Feather,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=206325&type=card,Magic 2011 (Uncommon),['2'],2,Artifact,"Whenever a player casts a white spell, you may gain 1 life."
245,Arc Runner,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204991&type=card,Magic 2011 (Common),"['2', 'Red']",3,Creature — Elemental Ox (5/1),"Haste (This creature can attack and as soon as it comes under your control.)
At the beginning of the end step, sacrifice Arc Runner."
246,Armored Ascension,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204997&type=card,Magic 2011 (Uncommon),"['3', 'White']",4,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+1 for each Plains you control and has flying."
247,Armored Cancrix,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205083&type=card,Magic 2011 (Common),"['4', 'Blue']",5,Creature — Crab (2/5),
248,Assassinate,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205217&type=card,Magic 2011 (Common),"['2', 'Black']",3,Sorcery,Destroy target tapped creature.
249,Assault Griffin,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208296&type=card,Magic 2011 (Common),"['3', 'White']",4,Creature — Griffin (3/2),Flying
250,Augury Owl,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208225&type=card,Magic 2011 (Common),"['1', 'Blue']",2,Creature — Bird (1/1),"Flying
When Augury Owl enters the battlefield, scry 3. (Look at the top three cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
251,Autumn's Veil,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205051&type=card,Magic 2011 (Uncommon),['Green'],1,Instant,"Spells you control can't be countered by blue or black spells this turn, and creatures you control can't be the targets of blue or black spells this turn."
252,Awakener Druid,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205076&type=card,Magic 2011 (Uncommon),"['2', 'Green']",3,Creature — Human Druid (1/1),"When Awakener Druid enters the battlefield, target Forest becomes a 4/5 green Treefolk creature for as long as Awakener Druid remains on the battlefield. It's still a land."
253,Azure Drake,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204984&type=card,Magic 2011 (Common),"['3', 'Blue']",4,Creature — Drake (2/4),Flying
254,Back to Nature,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208284&type=card,Magic 2011 (Uncommon),"['1', 'Green']",2,Instant,Destroy all enchantments.
255,Baneslayer Angel,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205077&type=card,Magic 2011 (Mythic Rare),"['3', 'White', 'White']",5,Creature — Angel (5/5),"Flying, first strike, lifelink, protection from Demons and from Dragons"
256,Barony Vampire,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205001&type=card,Magic 2011 (Common),"['2', 'Black']",3,Creature — Vampire (3/2),
257,Berserkers of Blood Ridge,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205053&type=card,Magic 2011 (Common),"['4', 'Red']",5,Creature — Human Berserker (4/4),Berserkers of Blood Ridge attacks each combat if able.
258,Birds of Paradise,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207334&type=card,Magic 2011 (Rare),['Green'],1,Creature — Bird (0/1),"Flying
: Add one mana of any color."
259,Black Knight,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205218&type=card,Magic 2011 (Uncommon),"['Black', 'Black']",2,Creature — Human Knight (2/2),"First strike (This creature deals combat damage before creatures without first strike.)
Protection from white (This creature can't be blocked, targeted, dealt damage, or enchanted by anything white.)"
260,Blinding Mage,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205219&type=card,Magic 2011 (Common),"['1', 'White']",2,Creature — Human Wizard (1/2),", : Tap target creature."
261,Blood Tithe,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205054&type=card,Magic 2011 (Common),"['3', 'Black']",4,Sorcery,Each opponent loses 3 life. You gain life equal to the life lost this way.
262,Bloodcrazed Goblin,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205007&type=card,Magic 2011 (Common),['Red'],1,Creature — Goblin Berserker (2/2),Bloodcrazed Goblin can't attack unless an opponent has been dealt damage this turn.
263,Bloodthrone Vampire,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205238&type=card,Magic 2011 (Common),"['1', 'Black']",2,Creature — Vampire (1/1),Sacrifice a creature: Bloodthrone Vampire gets +2/+2 until end of turn.
264,Bog Raiders,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207105&type=card,Magic 2011 (Common),"['2', 'Black']",3,Creature — Zombie (2/2),Swampwalk (This creature can't be blocked as long as defending player controls a Swamp.)
265,Brindle Boar,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205039&type=card,Magic 2011 (Common),"['2', 'Green']",3,Creature — Boar (2/2),Sacrifice Brindle Boar: You gain 4 life.
266,Brittle Effigy,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205002&type=card,Magic 2011 (Rare),['1'],1,Artifact,", , Exile Brittle Effigy: Exile target creature."
267,Call to Mind,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208218&type=card,Magic 2011 (Uncommon),"['2', 'Blue']",3,Sorcery,Return target instant or sorcery card from your graveyard to your hand.
268,Cancel,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208217&type=card,Magic 2011 (Common),"['1', 'Blue', 'Blue']",3,Instant,Counter target spell.
269,Canyon Minotaur,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208000&type=card,Magic 2011 (Common),"['3', 'Red']",4,Creature — Minotaur Warrior (3/3),
270,Captivating Vampire,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205041&type=card,Magic 2011 (Rare),"['1', 'Black', 'Black']",3,Creature — Vampire (2/2),"Other Vampire creatures you control get +1/+1.
Tap five untapped Vampires you control: Gain control of target creature. It becomes a Vampire in addition to its other types."
271,Celestial Purge,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208290&type=card,Magic 2011 (Uncommon),"['1', 'White']",2,Instant,Exile target black or red permanent.
272,Chandra Nalaar,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205958&type=card,Magic 2011 (Mythic Rare),"['3', 'Red', 'Red']",5,Legendary Planeswalker — Chandra (6),"+1: Chandra Nalaar deals 1 damage to target player or planeswalker.
−X: Chandra Nalaar deals X damage to target creature.
−8: Chandra Nalaar deals 10 damage to target player or planeswalker and each creature that player or that planeswalker's controller controls."
273,Chandra's Outrage,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205071&type=card,Magic 2011 (Common),"['2', 'Red', 'Red']",4,Instant,Chandra's Outrage deals 4 damage to target creature and 2 damage to that creature's controller.
274,Chandra's Spitfire,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205026&type=card,Magic 2011 (Uncommon),"['2', 'Red']",3,Creature — Elemental (1/3),"Flying
Whenever an opponent is dealt noncombat damage, Chandra's Spitfire gets +3/+0 until end of turn."
275,Child of Night,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205122&type=card,Magic 2011 (Common),"['1', 'Black']",2,Creature — Vampire (2/1),Lifelink
276,Clone,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205220&type=card,Magic 2011 (Rare),"['3', 'Blue']",4,Creature — Shapeshifter (0/0),You may have Clone enter the battlefield as a copy of any creature on the battlefield.
277,Cloud Crusader,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208287&type=card,Magic 2011 (Common),"['2', 'White', 'White']",4,Creature — Human Knight (2/3),"Flying
First strike (This creature deals combat damage before creatures without first strike.)"
278,Cloud Elemental,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208224&type=card,Magic 2011 (Common),"['2', 'Blue']",3,Creature — Elemental (2/3),"Flying
Cloud Elemental can block only creatures with flying."
279,Combust,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205011&type=card,Magic 2011 (Uncommon),"['1', 'Red']",2,Instant,"This spell can't be countered.
Combust deals 5 damage to target white or blue creature. The damage can't be prevented."
280,Condemn,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205098&type=card,Magic 2011 (Uncommon),['White'],1,Instant,Put target attacking creature on the bottom of its owner's library. Its controller gains life equal to its toughness.
281,Conundrum Sphinx,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204982&type=card,Magic 2011 (Rare),"['2', 'Blue', 'Blue']",4,Creature — Sphinx (4/4),"Flying
Whenever Conundrum Sphinx attacks, each player chooses a card name. Then each player reveals the top card of their library. If the card a player revealed has the name they chose, that player puts it into their hand. If it doesn't, that player puts it on the bottom of their library."
282,Corrupt,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207106&type=card,Magic 2011 (Uncommon),"['5', 'Black']",6,Sorcery,Corrupt deals damage to any target equal to the number of Swamps you control. You gain life equal to the damage dealt this way.
283,Crystal Ball,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205049&type=card,Magic 2011 (Uncommon),['3'],3,Artifact,", : Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)"
284,Cudgel Troll,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205084&type=card,Magic 2011 (Uncommon),"['2', 'Green', 'Green']",4,Creature — Troll (4/3),": Regenerate Cudgel Troll. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)"
285,Cultivate,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204996&type=card,Magic 2011 (Common),"['2', 'Green']",3,Sorcery,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle."
286,Cyclops Gladiator,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205107&type=card,Magic 2011 (Rare),"['1', 'Red', 'Red', 'Red']",4,Creature — Cyclops Warrior (4/4),"Whenever Cyclops Gladiator attacks, you may have it deal damage equal to its power to target creature defending player controls. If you do, that creature deals damage equal to its power to Cyclops Gladiator."
287,Dark Tutelage,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204979&type=card,Magic 2011 (Rare),"['2', 'Black']",3,Enchantment,"At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its mana value."
288,Day of Judgment,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208297&type=card,Magic 2011 (Rare),"['2', 'White', 'White']",4,Sorcery,Destroy all creatures.
289,Deathmark,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207100&type=card,Magic 2011 (Uncommon),['Black'],1,Sorcery,Destroy target green or white creature.
290,Demolish,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208005&type=card,Magic 2011 (Common),"['3', 'Red']",4,Sorcery,Destroy target artifact or land.
291,Demon of Death's Gate,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205131&type=card,Magic 2011 (Mythic Rare),"['6', 'Black', 'Black', 'Black']",9,Creature — Demon (9/9),"You may pay 6 life and sacrifice three black creatures rather than pay this spell's mana cost.
Flying, trample"
292,Demon's Horn,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=206326&type=card,Magic 2011 (Uncommon),['2'],2,Artifact,"Whenever a player casts a black spell, you may gain 1 life."
293,Destructive Force,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205046&type=card,Magic 2011 (Rare),"['5', 'Red', 'Red']",7,Sorcery,Each player sacrifices five lands. Destructive Force deals 5 damage to each creature.
294,Diabolic Tutor,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205222&type=card,Magic 2011 (Uncommon),"['2', 'Black', 'Black']",4,Sorcery,"Search your library for a card, put that card into your hand, then shuffle."
295,Diminish,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208226&type=card,Magic 2011 (Common),['Blue'],1,Instant,Target creature has base power and toughness 1/1 until end of turn.
296,Disentomb,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207101&type=card,Magic 2011 (Common),['Black'],1,Sorcery,Return target creature card from your graveyard to your hand.
297,Doom Blade,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205088&type=card,Magic 2011 (Common),"['1', 'Black']",2,Instant,Destroy target nonblack creature.
298,Dragon's Claw,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=206327&type=card,Magic 2011 (Uncommon),['2'],2,Artifact,"Whenever a player casts a red spell, you may gain 1 life."
299,Dragonskull Summit,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205089&type=card,Magic 2011 (Rare),['2'],0,Land,"Dragonskull Summit enters the battlefield tapped unless you control a Swamp or a Mountain.
: Add or ."
300,Drowned Catacomb,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205090&type=card,Magic 2011 (Rare),['2'],0,Land,"Drowned Catacomb enters the battlefield tapped unless you control an Island or a Swamp.
: Add or ."
301,Dryad's Favor,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205109&type=card,Magic 2011 (Common),['Green'],1,Enchantment — Aura,"Enchant creature
Enchanted creature has forestwalk. (It can't be blocked as long as defending player controls a Forest.)"
302,Duress,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205024&type=card,Magic 2011 (Common),['Black'],1,Sorcery,"Target opponent reveals their hand. You choose a noncreature, nonland card from it. That player discards that card."
303,Duskdale Wurm,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207335&type=card,Magic 2011 (Uncommon),"['5', 'Green', 'Green']",7,Creature — Wurm (7/7),Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
304,Earth Servant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204986&type=card,Magic 2011 (Uncommon),"['5', 'Red']",6,Creature — Elemental (4/4),Earth Servant gets +0/+1 for each Mountain you control.
305,Elite Vanguard,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208291&type=card,Magic 2011 (Uncommon),['White'],1,Creature — Human Soldier (2/1),
306,Elixir of Immortality,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205061&type=card,Magic 2011 (Uncommon),['1'],1,Artifact,", : You gain 5 life. Shuffle Elixir of Immortality and your graveyard into their owner's library."
307,Elvish Archdruid,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205091&type=card,Magic 2011 (Rare),"['1', 'Green', 'Green']",3,Creature — Elf Druid (2/2),"Other Elf creatures you control get +1/+1.
: Add for each Elf you control."
308,Ember Hauler,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208008&type=card,Magic 2011 (Uncommon),"['Red', 'Red']",2,Creature — Goblin (2/2),", Sacrifice Ember Hauler: It deals 2 damage to any target."
309,Excommunicate,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208273&type=card,Magic 2011 (Common),"['2', 'White']",3,Sorcery,Put target creature on top of its owner's library.
310,Fauna Shaman,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205059&type=card,Magic 2011 (Rare),"['1', 'Green']",2,Creature — Elf Shaman (2/2),", , Discard a creature card: Search your library for a creature card, reveal it, put it into your hand, then shuffle."
311,Fiery Hellhound,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205093&type=card,Magic 2011 (Common),"['1', 'Red', 'Red']",3,Creature — Elemental Dog (2/2),: Fiery Hellhound gets +1/+0 until end of turn.
312,Fire Servant,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204992&type=card,Magic 2011 (Uncommon),"['3', 'Red', 'Red']",5,Creature — Elemental (4/3),"If a red instant or sorcery spell you control would deal damage, it deals double that damage instead."
313,Fireball,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205223&type=card,Magic 2011 (Uncommon),"['Variable Colorless', 'Red']",1,Sorcery,"This spell costs more to cast for each target beyond the first.
Fireball deals X damage divided evenly, rounded down, among any number of targets."
314,Flashfreeze,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208219&type=card,Magic 2011 (Uncommon),"['1', 'Blue']",2,Instant,Counter target red or green spell.
315,Fling,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208001&type=card,Magic 2011 (Common),"['1', 'Red']",2,Instant,"As an additional cost to cast this spell, sacrifice a creature.
Fling deals damage equal to the sacrificed creature's power to any target."
316,Fog,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205064&type=card,Magic 2011 (Common),['Green'],1,Instant,Prevent all combat damage that would be dealt this turn.
317,Foresee,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205068&type=card,Magic 2011 (Common),"['3', 'Blue']",4,Sorcery,"Scry 4, then draw two cards."
318,Forest,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=213631&type=card,Magic 2011 (Land),"['3', 'Blue']",0,Basic Land — Forest,
319,Frost Titan,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204999&type=card,Magic 2011 (Mythic Rare),"['4', 'Blue', 'Blue']",6,Creature — Giant (6/6),"Whenever Frost Titan becomes the target of a spell or ability an opponent controls, counter that spell or ability unless its controller pays .
Whenever Frost Titan enters the battlefield or attacks, tap target permanent. It doesn't untap during its controller's next untap step."
320,Gaea's Revenge,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205033&type=card,Magic 2011 (Mythic Rare),"['5', 'Green', 'Green']",7,Creature — Elemental (8/5),"This spell can't be countered.
Haste
Gaea's Revenge can't be the target of nongreen spells or abilities from nongreen sources."
321,Gargoyle Sentinel,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204985&type=card,Magic 2011 (Uncommon),['3'],3,Artifact Creature — Gargoyle (3/3),"Defender (This creature can't attack.)
: Until end of turn, Gargoyle Sentinel loses defender and gains flying."
322,Garruk Wildspeaker,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205959&type=card,Magic 2011 (Mythic Rare),"['2', 'Green', 'Green']",4,Legendary Planeswalker — Garruk (3),"+1: Untap two target lands.
−1: Create a 3/3 green Beast creature token.
−4: Creatures you control get +3/+3 and gain trample until end of turn."
323,Garruk's Companion,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205025&type=card,Magic 2011 (Common),"['Green', 'Green']",2,Creature — Beast (3/2),Trample (This creature can deal excess combat damage to the player or planeswalker it's attacking.)
324,Garruk's Packleader,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205060&type=card,Magic 2011 (Uncommon),"['4', 'Green']",5,Creature — Beast (4/4),"Whenever another creature with power 3 or greater enters the battlefield under your control, you may draw a card."
325,Giant Growth,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205224&type=card,Magic 2011 (Common),['Green'],1,Instant,Target creature gets +3/+3 until end of turn.
326,Giant Spider,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205225&type=card,Magic 2011 (Common),"['3', 'Green']",4,Creature — Spider (2/4),Reach (This creature can block creatures with flying.)
327,Glacial Fortress,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205094&type=card,Magic 2011 (Rare),"['3', 'Green']",0,Land,"Glacial Fortress enters the battlefield tapped unless you control a Plains or an Island.
: Add or ."
328,Goblin Balloon Brigade,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208010&type=card,Magic 2011 (Common),['Red'],1,Creature — Goblin Warrior (1/1),: Goblin Balloon Brigade gains flying until end of turn.
329,Goblin Chieftain,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205096&type=card,Magic 2011 (Rare),"['1', 'Red', 'Red']",3,Creature — Goblin (2/2),"Haste (This creature can attack and as soon as it comes under your control.)
Other Goblin creatures you control get +1/+1 and have haste."
330,Goblin Piker,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205052&type=card,Magic 2011 (Common),"['1', 'Red']",2,Creature — Goblin Warrior (2/1),
331,Goblin Tunneler,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207999&type=card,Magic 2011 (Common),"['1', 'Red']",2,Creature — Goblin Rogue (1/1),: Target creature with power 2 or less can't be blocked this turn.
332,Goldenglow Moth,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208295&type=card,Magic 2011 (Common),['White'],1,Creature — Insect (0/1),"Flying
Whenever Goldenglow Moth blocks, you may gain 4 life."
333,Grave Titan,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205012&type=card,Magic 2011 (Mythic Rare),"['4', 'Black', 'Black']",6,Creature — Giant (6/6),"Deathtouch
Whenever Grave Titan enters the battlefield or attacks, create two 2/2 black Zombie creature tokens."
334,Gravedigger,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=207102&type=card,Magic 2011 (Common),"['3', 'Black']",4,Creature — Zombie (2/2),"When Gravedigger enters the battlefield, you may return target creature card from your graveyard to your hand."
335,Greater Basilisk,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205016&type=card,Magic 2011 (Common),"['3', 'Green', 'Green']",5,Creature — Basilisk (3/5),Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.)
336,Harbor Serpent,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204974&type=card,Magic 2011 (Common),"['4', 'Blue', 'Blue']",6,Creature — Serpent (5/5),"Islandwalk (This creature can't be blocked as long as defending player controls an Island.)
Harbor Serpent can't attack unless there are five or more Islands on the battlefield."
337,Haunting Echoes,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205005&type=card,Magic 2011 (Rare),"['3', 'Black', 'Black']",5,Sorcery,"Exile all cards from target player's graveyard other than basic land cards. For each card exiled this way, search that player's library for all cards with the same name as that card and exile them. Then that player shuffles."
338,Hoarding Dragon,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205235&type=card,Magic 2011 (Rare),"['3', 'Red', 'Red']",5,Creature — Dragon (4/4),"Flying
When Hoarding Dragon enters the battlefield, you may search your library for an artifact card, exile it, then shuffle.
When Hoarding Dragon dies, you may put the exiled card into its owner's hand."
339,Holy Strength,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205226&type=card,Magic 2011 (Common),['White'],1,Enchantment — Aura,"Enchant creature
Enchanted creature gets +1/+2."
340,Honor of the Pure,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205099&type=card,Magic 2011 (Rare),"['1', 'White']",2,Enchantment,White creatures you control get +1/+1.
341,Hornet Sting,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205050&type=card,Magic 2011 (Common),['Green'],1,Instant,Hornet Sting deals 1 damage to any target.
342,Howling Banshee,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205100&type=card,Magic 2011 (Uncommon),"['2', 'Black', 'Black']",4,Creature — Spirit (3/3),"Flying
When Howling Banshee enters the battlefield, each player loses 3 life."
343,Hunters' Feast,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205037&type=card,Magic 2011 (Common),"['3', 'Green']",4,Sorcery,Any number of target players each gain 6 life.
344,Ice Cage,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205101&type=card,Magic 2011 (Common),"['1', 'Blue']",2,Enchantment — Aura,"Enchant creature
Enchanted creature can't attack or block, and its activated abilities can't be activated.
When enchanted creature becomes the target of a spell or ability, destroy Ice Cage."
345,Incite,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205045&type=card,Magic 2011 (Common),['Red'],1,Instant,Target creature becomes red until end of turn and attacks this turn if able.
346,Infantry Veteran,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208278&type=card,Magic 2011 (Common),['White'],1,Creature — Human Soldier (1/1),: Target attacking creature gets +1/+1 until end of turn.
347,Inferno Titan,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205042&type=card,Magic 2011 (Mythic Rare),"['4', 'Red', 'Red']",6,Creature — Giant (6/6),": Inferno Titan gets +1/+0 until end of turn.
Whenever Inferno Titan enters the battlefield or attacks, it deals 3 damage divided as you choose among one, two, or three targets."
348,Inspired Charge,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205074&type=card,Magic 2011 (Common),"['2', 'White', 'White']",4,Instant,Creatures you control get +2/+1 until end of turn.
349,Island,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=213618&type=card,Magic 2011 (Land),"['2', 'White', 'White']",0,Basic Land — Island,
350,Jace Beleren,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205960&type=card,Magic 2011 (Mythic Rare),"['1', 'Blue', 'Blue']",3,Legendary Planeswalker — Jace (3),"+2: Each player draws a card.
−1: Target player draws a card.
−10: Target player mills twenty cards."
351,Jace's Erasure,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205043&type=card,Magic 2011 (Common),"['1', 'Blue']",2,Enchantment,"Whenever you draw a card, you may have target player mill a card."
352,Jace's Ingenuity,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205015&type=card,Magic 2011 (Uncommon),"['3', 'Blue', 'Blue']",5,Instant,Draw three cards.
353,Jinxed Idol,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208006&type=card,Magic 2011 (Rare),['2'],2,Artifact,"At the beginning of your upkeep, Jinxed Idol deals 2 damage to you.
Sacrifice a creature: Target opponent gains control of Jinxed Idol."
354,Juggernaut,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205230&type=card,Magic 2011 (Uncommon),['4'],4,Artifact Creature — Juggernaut (5/3),"Juggernaut attacks each combat if able.
Juggernaut can't be blocked by Walls."
355,Knight Exemplar,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204988&type=card,Magic 2011 (Rare),"['1', 'White', 'White']",3,Creature — Human Knight (2/2),"First strike (This creature deals combat damage before creatures without first strike.)
Other Knight creatures you control get +1/+1 and have indestructible. (Damage and effects that say ""destroy"" don't destroy them.)"
