,card name,edition,rarity,converted mana cost,colourless mana,coloured mana,main type,sub type,power,toughness,abilities,average price in $,market price in $,foil price in $,img url
1559,Crusader of Odric,Magic 2013 ,Uncommon),3,['2', 'White'],Creature , Human Soldier , Human Soldier (*,*),Crusader of Odric's power and toughness are each equal to the number of creatures you control.,0.25,0.11,0.83,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=253730&type=card
1141,Crystal Ball,Magic 2011 ,Uncommon),3,['3'],,Artifact,,,,", : Scry 2. (Look at the top two cards of your library, then put any number of them on the bottom of your library and the rest on top in any order.)",0.45,0.37,3.93,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205049&type=card
1142,Cultivate,Magic 2011 ,Common),3,['2', 'Green'],Sorcery,,,,"Search your library for up to two basic land cards, reveal those cards, put one onto the battlefield tapped and the other into your hand, then shuffle.",0.24,0.05,1.81,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204996&type=card
1143,Cyclops Gladiator,Magic 2011 ,Rare),4,['1'," 'Red', 'Red', 'Red']",Creature , Cyclops Warrior , Cyclops Warrior (4,4),"Whenever Cyclops Gladiator attacks, you may have it deal damage equal to its power to target creature defending player controls. If you do, that creature deals damage equal to its power to Cyclops Gladiator.",,1.05,1.81,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205107&type=card
1144,Dark Tutelage,Magic 2011 ,Rare),3,['2', 'Black'],Enchantment,,,,"At the beginning of your upkeep, reveal the top card of your library and put that card into your hand. You lose life equal to its mana value.",0.35,0.12,0.67,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204979&type=card
194,Darksteel Colossus,Magic 2010 ,Mythic Rare),11,['11'],,Artifact Creature , Golem , Golem (11,11),"Trample, indestructible
If Darksteel Colossus would be put into a graveyard from anywhere, reveal Darksteel Colossus and shuffle it into its owner's library instead.",0.24,0.05,0.38,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191312&type=card
1149,Demolish,Magic 2011 ,Common),4,['3', 'Red'],Sorcery,,,,Destroy target artifact or land.,0.24,0.13,0.44,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208005&type=card
1150,Demon of Death's Gate,Magic 2011 ,Mythic Rare),9,['6'," 'Black', 'Black', 'Black']",Creature , Demon , Demon (9,9),"You may pay 6 life and sacrifice three black creatures rather than pay this spell's mana cost.
Flying, trample",8.69,8.71,29.99,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205131&type=card
1400,Demystify,Magic 2012 ,Common),1,['White'],,Instant,,,,Destroy target enchantment.,0.25,0.12,0.44,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=238328&type=card
1151,Destructive Force,Magic 2011 ,Rare),7,['5'," 'Red', 'Red']",Sorcery,,,,Each player sacrifices five lands. Destructive Force deals 5 damage to each creature.,0.25,0.12,0.44,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205046&type=card
1401,Devouring Swarm,Magic 2012 ,Common),3,['1'," 'Black', 'Black']",Creature , Insect , Insect (2,1),"Flying
Sacrifice a creature: Devouring Swarm gets +1/+1 until end of turn.",0.21,0.14,0.33,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=226563&type=card
1560,Diabolic Revelation,Magic 2013 ,Rare),5,['Variable Colorless'," '3', 'Black', 'Black']",Sorcery,,,,"Search your library for up to X cards, put those cards into your hand, then shuffle.",0.24,0.21,0.59,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=278196&type=card
1152,Diminish,Magic 2011 ,Common),1,['Blue'],,Instant,,,,Target creature has base power and toughness 1/1 until end of turn.,1.03,0.88,1.43,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208226&type=card
1561,Disciple of Bolas,Magic 2013 ,Rare),4,['3', 'Black'],Creature , Human Wizard , Human Wizard (2,1),"When Disciple of Bolas enters the battlefield, sacrifice another creature. You gain X life and draw X cards, where X is that creature's power.",2.03,1.97,4.75,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=253694&type=card
242,Disorient,Magic 2010 ,Common),4,['3', 'Blue'],Instant,,,,Target creature gets -7/-0 until end of turn.,0.19,0.10,0.26,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190171&type=card
1402,Distress,Magic 2012 ,Common),2,['Black', 'Black'],Sorcery,,,,Target player reveals their hand. You choose a nonland card from it. That player discards that card.,0.24,0.15,0.70,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=236908&type=card
1562,Door to Nothingness,Magic 2013 ,Rare),5,['5'],,Artifact,,,,"Door to Nothingness enters the battlefield tapped.
, , Sacrifice Door to Nothingness: Target player loses the game.",0.25,0.16,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=288992&type=card
1407,Doubling Chant,Magic 2012 ,Rare),6,['5', 'Green'],Sorcery,,,,"For each creature you control, you may search your library for a creature card with the same name as that creature. Put those cards onto the battlefield, then shuffle.",0.25,0.18,1.01,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220152&type=card
1563,Downpour,Magic 2013 ,Common),2,['1', 'Blue'],Instant,,,,Tap up to three target creatures.,1.54,1.51,5.11,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=276208&type=card
1564,Dragon Hatchling,Magic 2013 ,Common),2,['1', 'Red'],Creature , Dragon , Dragon (0,1),"Flying
: Dragon Hatchling gets +1/+0 until end of turn.",0.19,0.08,0.31,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=259201&type=card
269,Dragon Whelp,Magic 2010 ,Uncommon),4,['2'," 'Red', 'Red']",Creature , Dragon , Dragon (2,3),"Flying
: Dragon Whelp gets +1/+0 until end of turn. If this ability has been activated four or more times this turn, sacrifice Dragon Whelp at the beginning of the next end step.",0.25,0.18,1.01,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191060&type=card
295,Dread Warlock,Magic 2010 ,Common),3,['1'," 'Black', 'Black']",Creature , Human Wizard Warlock , Human Wizard Warlock (2,2),Dread Warlock can't be blocked except by black creatures.,4.17,4.34,5.76,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190575&type=card
1408,Drifting Shade,Magic 2012 ,Common),4,['3', 'Black'],Creature , Shade , Shade (1,1),"Flying
: Drifting Shade gets +1/+1 until end of turn.",4.17,4.34,5.76,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220088&type=card
312,Drudge Skeletons,Magic 2010 ,Common),2,['1', 'Black'],Creature , Skeleton , Skeleton (1,1),": Regenerate Drudge Skeletons. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)",6.99,7.02,12.93,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190552&type=card
1409,Druidic Satchel,Magic 2012 ,Rare),3,['3'],,Artifact,,,,", : Reveal the top card of your library. If it's a creature card, create a 1/1 green Saproling creature token. If it's a land card, put that card onto the battlefield under your control. If it's a noncreature, nonland card, you gain 2 life.",6.99,7.02,12.93,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220098&type=card
1153,Dryad's Favor,Magic 2011 ,Common),1,['Green'],,Enchantment , Aura, Aura,,"Enchant creature
Enchanted creature has forestwalk. (It can't be blocked as long as defending player controls a Forest.)",6.99,7.02,12.93,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205109&type=card
1410,Dungrove Elder,Magic 2012 ,Rare),3,['2', 'Green'],Creature , Treefolk , Treefolk (*,*),"Hexproof (This creature can't be the target of spells or abilities your opponents control.)
Dungrove Elder's power and toughness are each equal to the number of Forests you control.",0.52,0.47,1.35,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220210&type=card
1411,Duskhunter Bat,Magic 2012 ,Common),2,['1', 'Black'],Creature , Bat , Bat (1,1),"Bloodthirst 1 (If an opponent was dealt damage this turn, this creature enters the battlefield with a +1/+1 counter on it.)
Flying",0.20,0.02,0.25,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220259&type=card
1565,Duskmantle Prowler,Magic 2013 ,Uncommon),4,['3', 'Black'],Creature , Vampire Rogue , Vampire Rogue (2,2),"Haste (This creature can attack and as soon as it comes under your control.)
Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)",0.24,0.04,0.31,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=265728&type=card
1566,Duty-Bound Dead,Magic 2013 ,Common),1,['Black'],,Creature , Skeleton , Skeleton (0,2),"Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)
: Regenerate Duty-Bound Dead. (The next time this creature would be destroyed this turn, it isn't. Instead tap it, remove all damage from it, and remove it from combat.)",0.19,0.13,0.39,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=260988&type=card
1158,Earth Servant,Magic 2011 ,Uncommon),6,['5', 'Red'],Creature , Elemental , Elemental (4,4),Earth Servant gets +0/+1 for each Mountain you control.,0.23,0.07,0.35,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204986&type=card
322,Earthquake,Magic 2010 ,Rare),1,['Variable Colorless', 'Red'],Sorcery,,,,Earthquake deals X damage to each creature without flying and each player.,0.20,0.06,0.50,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190551&type=card
1567,Elderscale Wurm,Magic 2013 ,Mythic Rare),7,['4'," 'Green', 'Green', 'Green']",Creature , Wurm , Wurm (7,7),"Trample
When Elderscale Wurm enters the battlefield, if your life total is less than 7, your life total becomes 7.
As long as you have 7 or more life, damage that would reduce your life total to less than 7 reduces it to 7 instead.",2.00,2.74,4.93,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=249703&type=card
348,Elvish Piper,Magic 2010 ,Rare),4,['3', 'Green'],Creature , Elf Shaman , Elf Shaman (1,1),", : You may put a creature card from your hand onto the battlefield.",12.53,6.20,25.39,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191317&type=card
1168,Ember Hauler,Magic 2011 ,Uncommon),2,['Red', 'Red'],Creature , Goblin , Goblin (2,2),", Sacrifice Ember Hauler: It deals 2 damage to any target.",1.80,0.09,0.61,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208008&type=card
353,Emerald Oryx,Magic 2010 ,Common),4,['3', 'Green'],Creature , Antelope , Antelope (2,3),Forestwalk (This creature can't be blocked as long as defending player controls a Forest.),0.25,0.12,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189890&type=card
1568,Encrust,Magic 2013 ,Common),3,['1'," 'Blue', 'Blue']",Enchantment , Aura, Aura,,"Enchant artifact or creature
Enchanted permanent doesn't untap during its controller's untap step and its activated abilities can't be activated.",0.25,0.12,0.95,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=278194&type=card
354,Enormous Baloth,Magic 2010 ,Uncommon),7,['6', 'Green'],Creature , Beast , Beast (7,7),,0.20,0.02,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189882&type=card
355,Entangling Vines,Magic 2010 ,Common),4,['3', 'Green'],Enchantment , Aura, Aura,,"Enchant tapped creature
Enchanted creature doesn't untap during its controller's untap step.",0.20,0.06,0.35,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189901&type=card
1569,Erase,Magic 2013 ,Common),1,['White'],,Instant,,,,Exile target enchantment.,0.20,0.08,0.39,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=259723&type=card
1570,Essence Drain,Magic 2013 ,Common),5,['4', 'Black'],Sorcery,,,,Essence Drain deals 3 damage to any target and you gain 3 life.,0.19,0.07,0.28,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=276300&type=card
1571,Evolving Wilds,Magic 2013 ,Common),0,['1', 'Blue'],Land,,,,", Sacrifice Evolving Wilds: Search your library for a basic land card, put it onto the battlefield tapped, then shuffle.",0.25,0.09,0.50,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=269666&type=card
364,Fabricate,Magic 2010 ,Uncommon),3,['2', 'Blue'],Sorcery,,,,"Search your library for an artifact card, reveal it, put it into your hand, then shuffle.",0.19,5.89,39.99,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=189876&type=card
1572,Faerie Invaders,Magic 2013 ,Common),5,['4', 'Blue'],Creature , Faerie Rogue , Faerie Rogue (3,3),"Flash (You may cast this spell any time you could cast an instant.)
Flying",0.19,0.07,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=279988&type=card
1573,Faith's Reward,Magic 2013 ,Rare),4,['3', 'White'],Instant,,,,Return to the battlefield all permanent cards in your graveyard that were put there from the battlefield this turn.,1.92,1.93,3.49,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=259666&type=card
1574,Farseek,Magic 2013 ,Common),2,['1', 'Green'],Sorcery,,,,"Search your library for a Plains, Island, Swamp, or Mountain card, put it onto the battlefield tapped, then shuffle.",1.87,1.50,6.16,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=277824&type=card
1169,Fauna Shaman,Magic 2011 ,Rare),2,['1', 'Green'],Creature , Elf Shaman , Elf Shaman (2,2),", , Discard a creature card: Search your library for a creature card, reveal it, put it into your hand, then shuffle.",0.19,0.04,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205059&type=card
1575,Fervor,Magic 2013 ,Rare),3,['2', 'Red'],Enchantment,,,,Creatures you control have haste. (They can attack and as soon as they come under your control.),1.87,1.50,6.16,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=279709&type=card
1576,Fire Elemental,Magic 2013 ,Common),5,['3'," 'Red', 'Red']",Creature , Elemental , Elemental (5,4),,3.29,3.63,7.00,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=259212&type=card
1170,Fire Servant,Magic 2011 ,Uncommon),5,['3'," 'Red', 'Red']",Creature , Elemental , Elemental (4,3),"If a red instant or sorcery spell you control would deal damage, it deals double that damage instead.",0.18,0.05,0.32,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204992&type=card
1577,Firewing Phoenix,Magic 2013 ,Rare),4,['3', 'Red'],Creature , Phoenix , Phoenix (4,2),"Flying
: Return Firewing Phoenix from your graveyard to your hand.",0.16,0.02,0.25,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=259202&type=card
1412,Flameblast Dragon,Magic 2012 ,Rare),6,['4'," 'Red', 'Red']",Creature , Dragon , Dragon (5,5),"Flying
Whenever Flameblast Dragon attacks, you may pay . If you do, Flameblast Dragon deals X damage to any target.",0.50,0.46,0.74,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=244720&type=card
1578,Flames of the Firebrand,Magic 2013 ,Uncommon),3,['2', 'Red'],Sorcery,,,,"Flames of the Firebrand deals 3 damage divided as you choose among one, two, or three targets.",0.35,0.16,0.84,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=259219&type=card
1413,Flight,Magic 2012 ,Common),1,['Blue'],,Enchantment , Aura, Aura,,"Enchant creature
Enchanted creature has flying.",0.23,0.15,0.48,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=237366&type=card
1579,Flinthoof Boar,Magic 2013 ,Uncommon),2,['1', 'Green'],Creature , Boar , Boar (2,2),"Flinthoof Boar gets +1/+1 as long as you control a Mountain.
: Flinthoof Boar gains haste until end of turn. (It can attack and this turn.)",0.26,0.08,0.85,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=249712&type=card
1580,Fog Bank,Magic 2013 ,Uncommon),2,['1', 'Blue'],Creature , Wall , Wall (0,2),"Defender, flying
Prevent all combat damage that would be dealt to and dealt by Fog Bank.",1.54,1.39,1.31,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=270314&type=card
1175,Foresee,Magic 2011 ,Common),4,['3', 'Blue'],Sorcery,,,,"Scry 4, then draw two cards.",1.54,1.39,0.48,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205068&type=card
1414,Frost Breath,Magic 2012 ,Common),3,['2', 'Blue'],Instant,,,,Tap up to two target creatures. Those creatures don't untap during their controller's next untap step.,1.64,1.33,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220284&type=card
1581,Fungal Sprouting,Magic 2013 ,Uncommon),4,['3', 'Green'],Sorcery,,,,"Create X 1/1 green Saproling creature tokens, where X is the greatest power among creatures you control.",0.72,0.83,2.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=249711&type=card
1582,Furnace Whelp,Magic 2013 ,Uncommon),4,['2'," 'Red', 'Red']",Creature , Dragon , Dragon (2,2),"Flying (This creature can't be blocked except by creatures with flying or reach.)
: Furnace Whelp gets +1/+0 until end of turn.",0.72,0.83,2.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=288936&type=card
1415,Furyborn Hellkite,Magic 2012 ,Mythic Rare),7,['4'," 'Red', 'Red', 'Red']",Creature , Dragon , Dragon (6,6),"Bloodthirst 6 (If an opponent was dealt damage this turn, this creature enters the battlefield with six +1/+1 counters on it.)
Flying",0.99,0.83,2.22,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220103&type=card
1180,Gaea's Revenge,Magic 2011 ,Mythic Rare),7,['5'," 'Green', 'Green']",Creature , Elemental , Elemental (8,5),"This spell can't be countered.
Haste
Gaea's Revenge can't be the target of nongreen spells or abilities from nongreen sources.",0.99,0.83,2.22,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=205033&type=card
428,Gargoyle Castle,Magic 2010 ,Rare),0,['Green'],,Land,,,,": Add .
, , Sacrifice Gargoyle Castle: Create a 3/4 colorless Gargoyle artifact creature token with flying.",1.64,1.33,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193754&type=card
1181,Gargoyle Sentinel,Magic 2011 ,Uncommon),3,['3'],,Artifact Creature , Gargoyle , Gargoyle (3,3),"Defender (This creature can't attack.)
: Until end of turn, Gargoyle Sentinel loses defender and gains flying.",0.49,0.27,1.00,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=204985&type=card
1420,Garruk's Horde,Magic 2012 ,Rare),7,['5'," 'Green', 'Green']",Creature , Beast , Beast (7,7),"Trample
Play with the top card of your library revealed.
You may cast creature spells from the top of your library. (Do this only any time you could cast that creature spell. You still pay the spell's costs.)",0.43,0.21,0.72,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220077&type=card
1583,Gem of Becoming,Magic 2013 ,Uncommon),3,['3'],,Artifact,,,,", , Sacrifice Gem of Becoming: Search your library for an Island card, a Swamp card, and a Mountain card. Reveal those cards, put them into your hand, then shuffle.",0.29,0.20,,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=275727&type=card
1584,Giant Scorpion,Magic 2013 ,Common),3,['2', 'Black'],Creature , Scorpion , Scorpion (1,3),Deathtouch (Any amount of damage this deals to a creature is enough to destroy it.),0.19,0.06,0.25,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=260986&type=card
1421,Gideon Jura,Magic 2012 ,Mythic Rare),5,['3'," 'White', 'White']",Legendary Planeswalker , Gideon , Gideon (6),,"+2: During target opponent's next turn, creatures that player controls attack Gideon Jura if able.
−2: Destroy target tapped creature.
0: Until end of turn, Gideon Jura becomes a 6/6 Human Soldier creature that's still a planeswalker. Prevent all damage that would be dealt to him this turn.",1.49,1.04,4.99,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=238329&type=card
1422,Gideon's Avenger,Magic 2012 ,Rare),3,['1'," 'White', 'White']",Creature , Human Soldier , Human Soldier (2,2),"Whenever a creature an opponent controls becomes tapped, put a +1/+1 counter on Gideon's Avenger.",1.49,1.04,4.99,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220239&type=card
1423,Gideon's Lawkeeper,Magic 2012 ,Common),1,['White'],,Creature , Human Soldier , Human Soldier (1,1),", : Tap target creature.",0.57,0.47,1.19,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=228122&type=card
1585,Gilded Lotus,Magic 2013 ,Rare),5,['5'],,Artifact,,,,: Add three mana of any one color.,5.03,4.95,8.99,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=249742&type=card
1424,Gladecover Scout,Magic 2012 ,Common),1,['Green'],,Creature , Elf Scout , Elf Scout (1,1),Hexproof (This creature can't be the target of spells or abilities your opponents control.),5.05,5.23,10.03,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220082&type=card
466,Goblin Artillery,Magic 2010 ,Uncommon),3,['1'," 'Red', 'Red']",Creature , Goblin Warrior , Goblin Warrior (1,3),: Goblin Artillery deals 2 damage to any target and 3 damage to you.,0.24,0.07,0.40,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191092&type=card
1190,Goblin Balloon Brigade,Magic 2011 ,Common),1,['Red'],,Creature , Goblin Warrior , Goblin Warrior (1,1),: Goblin Balloon Brigade gains flying until end of turn.,5.05,5.23,10.03,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208010&type=card
1429,Goblin Bangchuckers,Magic 2012 ,Uncommon),4,['2'," 'Red', 'Red']",Creature , Goblin Warrior , Goblin Warrior (2,2),": Flip a coin. If you win the flip, Goblin Bangchuckers deals 2 damage to any target. If you lose the flip, Goblin Bangchuckers deals 2 damage to itself.",0.19,0.15,0.44,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=229952&type=card
1586,Goblin Battle Jester,Magic 2013 ,Common),4,['3', 'Red'],Creature , Goblin , Goblin (2,2),"Whenever you cast a red spell, target creature can't block this turn.",0.20,0.11,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=278070&type=card
1430,Goblin Fireslinger,Magic 2012 ,Common),1,['Red'],,Creature , Goblin Warrior , Goblin Warrior (1,1),: Goblin Fireslinger deals 1 damage to target player or planeswalker.,0.24,0.16,0.50,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=228959&type=card
1431,Goblin Grenade,Magic 2012 ,Uncommon),1,['Red'],,Sorcery,,,,"As an additional cost to cast this spell, sacrifice a Goblin.
Goblin Grenade deals 5 damage to any target.",0.95,0.77,4.16,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220435&type=card
1432,Goblin War Paint,Magic 2012 ,Common),2,['1', 'Red'],Enchantment , Aura, Aura,,"Enchant creature
Enchanted creature gets +2/+2 and has haste.",0.19,0.03,0.28,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=236461&type=card
1195,Goldenglow Moth,Magic 2011 ,Common),1,['White'],,Creature , Insect , Insect (0,1),"Flying
Whenever Goldenglow Moth blocks, you may gain 4 life.",0.19,0.07,0.30,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=208295&type=card
1433,Gorehorn Minotaurs,Magic 2012 ,Common),4,['2'," 'Red', 'Red']",Creature , Minotaur Warrior , Minotaur Warrior (3,3),"Bloodthirst 2 (If an opponent was dealt damage this turn, this creature enters the battlefield with two +1/+1 counters on it.)",0.19,0.03,0.28,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220294&type=card
485,Gorgon Flail,Magic 2010 ,Uncommon),2,['2'],,Artifact , Equipment, Equipment,,"Equipped creature gets +1/+1 and has deathtouch. (Any amount of damage it deals to a creature is enough to destroy that creature.)
Equip (: Attach to target creature you control. Equip only as a sorcery.)",0.19,0.04,0.26,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=191597&type=card
1434,Grand Abolisher,Magic 2012 ,Rare),2,['White', 'White'],Creature , Human Cleric , Human Cleric (2,2),"During your turn, your opponents can't cast spells or activate abilities of artifacts, creatures, or enchantments.",29.92,28.07,107.95,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=221898&type=card
495,Great Sable Stag,Magic 2010 ,Rare),3,['1'," 'Green', 'Green']",Creature , Elk , Elk (3,3),"This spell can't be countered.
Protection from blue and from black (This creature can't be blocked, targeted, dealt damage, or enchanted by anything blue or black.)",0.20,0.08,0.45,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193759&type=card
1435,Greatsword,Magic 2012 ,Uncommon),3,['3'],,Artifact , Equipment, Equipment,,"Equipped creature gets +3/+0.
Equip (: Attach to target creature you control. Equip only as a sorcery.)",0.20,0.04,0.26,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220296&type=card
1587,Griffin Protector,Magic 2013 ,Common),4,['3', 'White'],Creature , Griffin , Griffin (2,3),"Flying
Whenever another creature enters the battlefield under your control, Griffin Protector gets +1/+1 until end of turn.",0.20,0.11,0.25,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=259673&type=card
1436,Griffin Rider,Magic 2012 ,Common),2,['1', 'White'],Creature , Human Knight , Human Knight (1,1),"As long as you control a Griffin creature, Griffin Rider gets +3/+3 and has flying.",1.10,0.77,1.52,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220282&type=card
1437,Grim Lavamancer,Magic 2012 ,Rare),1,['Red'],,Creature , Human Wizard , Human Wizard (1,1),", , Exile two cards from your graveyard: Grim Lavamancer deals 2 damage to any target.",0.18,0.01,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=234428&type=card
1588,Ground Seal,Magic 2013 ,Rare),2,['1', 'Green'],Enchantment,,,,"When Ground Seal enters the battlefield, draw a card.
Cards in graveyards can't be the targets of spells or abilities.",0.46,0.30,1.15,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=289156&type=card
1589,Guardian Lions,Magic 2013 ,Common),5,['4', 'White'],Creature , Cat , Cat (1,6),Vigilance (Attacking doesn't cause this creature to tap.),0.20,0.07,0.34,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=279701&type=card
500,Guardian Seraph,Magic 2010 ,Rare),4,['2'," 'White', 'White']",Creature , Angel , Angel (3,4),"Flying
If a source an opponent controls would deal damage to you, prevent 1 of that damage.",0.18,0.01,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=193766&type=card
1590,Guardians of Akrasa,Magic 2013 ,Common),3,['2', 'White'],Creature , Human Soldier , Human Soldier (0,4),"Defender (This creature can't attack.)
Exalted (Whenever a creature you control attacks alone, that creature gets +1/+1 until end of turn.)",0.20,0.09,0.29,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=279861&type=card
1438,Guardians' Pledge,Magic 2012 ,Common),3,['1'," 'White', 'White']",Instant,,,,White creatures you control get +2/+2 until end of turn.,0.24,0.14,0.39,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=220095&type=card
1591,Hamletback Goliath,Magic 2013 ,Rare),7,['6', 'Red'],Creature , Giant Warrior , Giant Warrior (6,6),"Whenever another creature enters the battlefield, you may put X +1/+1 counters on Hamletback Goliath, where X is that creature's power.",0.35,0.18,0.74,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=279708&type=card
1592,Harbor Bandit,Magic 2013 ,Uncommon),3,['2', 'Black'],Creature , Human Rogue , Human Rogue (2,2),"Harbor Bandit gets +1/+1 as long as you control an Island.
: Harbor Bandit can't be blocked this turn.",0.25,0.09,0.38,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=259660&type=card
501,Harm's Way,Magic 2010 ,Uncommon),1,['White'],,Instant,,,,The next 2 damage that a source of your choice would deal to you and/or permanents you control this turn is dealt to any target instead.,0.70,0.62,1.87,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=190166&type=card
1593,Healer of the Pride,Magic 2013 ,Uncommon),4,['3', 'White'],Creature , Cat Cleric , Cat Cleric (2,3),"Whenever another creature enters the battlefield under your control, you gain 2 life.",0.41,0.36,1.44,https://gatherer.wizards.com/Handlers/Image.ashx?multiverseid=276206&type=card
